AD Leo.
comp - N 1000 20 1 (Blanco) V=8.81;(U-B)=+0.59;(B-V)=+0.95 T=-3C, Date 05-Mar-1995 Tмск
Object Time Texp U B V 
tok 22:21:51 10 24 68134 
- 22:22:23 10 26 60 115 
fon 22:23:54 10 438 6124 2454 
- 22:24:06 10 437 6094 2526 
- 22:24:17 10 447 6137 2515 
comp 22:26:01 10 10142 147286 194010 
- 22:26:13 10 10121 146858 193940 
- 22:26:25 10 10135 147384 194407 
- 22:26:36 10 10313 146676 193805 
fon 22:53:10 10 434 6075 2565 
- 22:53:22 10 447 6121 2491 
- 22:53:34 10 423 6275 2550 
comp 22:56:15 10 10199 148672 196395 
- 22:56:27 10 10454 148705 196768 
- 22:56:39 10 10301 148060 196034 
- 22:56:50 10 10401 148571 195743 
fon 23:29:32 10 463 6607 2868 
- 23:29:44 10 427 6716 2943 
- 23:30:00 10 448 6544 2896 
comp 23:34:35 10 10379 147233 196119 
- 23:35:05 10 10706 146961 i195822
- 23:35:20 10 10614 147037 196087 
- 23:35:40 10 10873 148533 196862 
fon 23:56:18 10 472 8004 3047 
- 23:56:31 10 490 8304 3055 
- 23:56:43 10 476 8642 3002 
comp 23:58:57 10 10581 149284 195895 
- 23:59:09 10 10575 149022 195603 
- 23:59:20 10 10809 148962 196301 
- 23:59:32 10 10698 148785 195610 
fon 00:27:52 10 446 6224 2716 
- 00:28:04 10 445 6337 2735 
- 00:28:17 10 482 6575 2805 
comp 00:30:28 10 10228 147495 195277 
- 00:30:39 10 10427 146360 194312 
- 00:30:50 10 10471 147529 195050 
- 00:31:02 10 10452 146947 195486 
fon 01:20:00 10 510 6220 2711 
- 01:20:11 10 524 6270 2721 
- 01:20:22 10 537 6265 2740 
comp 01:23:17 10 10081 146343 194498 
- 01:23:28 10 10189 146043 193394 
- 01:23:40 10 10358 146005 194341 
- 01:23:52 10 9747 145331 192841 
fon 01:58:26 10 599 6185 2989 
- 01:58:38 10 540 6186 2991 
- 01:58:50 10 561 6283 2982 
comp 02:02:32 10 9703 146037 190892 
- 02:02:44 10 9756 145690 189843 
- 02:02:55 10 9672 145695 190494 
- 02:03:07 10 9546 145509 189594 
fon 02:59:45 10 654 6601 3419 
- 02:59:58 10 623 6722 3397 
- 03:00:10 10 595 6853 3360 
comp 03:02:44 10 8789 139963 188017 
- 03:02:56 10 8905 140018 188342 
- 03:03:14 10 8783 139750 187489 
fon 03:24:15 10 712 7213 3486 
- 03:24:27 10 621 7299 3520 
- 03:24:45 10 638 6933 3521 
comp 03:27:44 10 8281 136103 184939 
- 03:27:55 10 8421 136085 185104
- 03:28:07 10 8356 135837 184165 
- 03:28:19 10 8211 137592 186053 
tok 03:29:20 10 42 66 137 
- 03:29:31 10 25 83 153 
- 03:29:43 10 32 80 166
