 #  |dist(asec)|prob. |     link ref      |     link      |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |   spec. type    |#bib|#not
    |          |member|                   |    comment    |                                   |   |                                       |         |         |         |         |         |                 |    |    
----|----------|------|-------------------|---------------|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|-----------------|----|----
1   |   1736.51|    96|2022A&A...664A..66M|B              |LS IV -14 29                       |Y*O|18 18 22.3586406576 -14 15 55.821285612|     ~   |11.46    |11.41    |     ~   |     ~   |OB-              |   7|   0
2   |   1730.19|    99|2022A&A...664A..66M|B              |LS IV -14 35                       |Y*O|18 19 51.5172422640 -14 11 26.331931968|     ~   |11.99    |11.54    |     ~   |     ~   |B                |   8|   0
3   |   1875.14|    99|2022A&A...664A..66M|B              |LS IV -14 37                       |Y*O|18 20 39.3521150808 -14 01 57.139558968|     ~   |11.14    |11.16    |     ~   |     ~   |B                |   7|   0
4   |   1074.30|    65|2022A&A...664A..66M|B              |NGC 6611 564                       |Y*?|18 18 03.5454301944 -14 02 18.728636136|     ~   |12.832   |12.336   |     ~   |     ~   |~                |   4|   0
5   |    863.28|    75|2009A&A...496..453G|S              |2MASS J18184205-1401531            |Y*?|18 18 42.0632738544 -14 01 53.332070592|14.539   |13.540   |13.149   |     ~   |12.641   |~                |   5|   0
6   |    863.28|   100|2013MNRAS.434..806B|B              |2MASS J18184205-1401531            |Y*?|18 18 42.0632738544 -14 01 53.332070592|14.539   |13.540   |13.149   |     ~   |12.641   |~                |   5|   0
7   |    892.03|    98|2022A&A...664A..66M|B              |NGC 6611 586                       |Y*O|18 18 50.5181562240 -14 02 19.761414000|     ~   |12.40    |12.54    |     ~   |     ~   |~                |   4|   0
8   |   1224.99|    75|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 34079             |Y*?|18 17 44.8583231232 -14 01 46.039623636|     ~   |15.659   |14.923   |     ~   |     ~   |~                |   2|   0
9   |   1298.69|    69|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 34102             |Y*?|18 17 50.0308851389 -14 04 32.652993367|     ~   |15.545   |14.744   |     ~   |     ~   |~                |   2|   0
10  |   1147.01|    66|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 34086             |Y*?|18 17 55.6102538441 -14 02 23.391909788|     ~   |17.205   |16.254   |     ~   |     ~   |~                |   2|   0
11  |   1272.61|    73|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 34112             |Y*?|18 17 57.5672022336 -14 05 19.034444184|     ~   |13.962   |13.262   |     ~   |     ~   |~                |   2|   0
12  |   1264.71|    94|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 34114             |Y*O|18 17 59.5856810256 -14 05 28.265113896|     ~   |14.994   |13.125   |     ~   |     ~   |~                |   2|   0
13  |   1141.90|    56|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 34097             |Y*?|18 18 04.9875894216 -14 03 52.299352980|     ~   |16.961   |15.918   |     ~   |     ~   |~                |   2|   0
14  |   1024.14|    74|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 32026             |Y*?|18 18 10.5596558112 -14 02 23.196628464|     ~   |15.883   |14.348   |     ~   |     ~   |~                |   3|   0
15  |    901.44|    65|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 32012             |Y*?|18 18 22.1623599384 -14 01 28.369052544|     ~   |15.722   |14.883   |     ~   |     ~   |~                |   3|   0
16  |    936.10|    62|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 32022             |Y*?|18 18 22.4432368152 -14 02 07.140475212|     ~   |16.089   |15.176   |     ~   |     ~   |~                |   3|   0
17  |   1233.86|    84|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 32082             |EB*|18 18 25.5408374976 -14 07 31.691266932|     ~   |16.877   |16.010   |     ~   |     ~   |~                |   4|   0
18  |   1231.79|    65|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 32086             |Y*?|18 18 32.3780293752 -14 07 48.942476400|     ~   |12.17    |11.62    |     ~   |     ~   |~                |   2|   0
19  |    924.15|    99|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 32029             |Y*O|18 18 35.3935467731 -14 02 44.431739381|     ~   |15.288   |14.726   |     ~   |     ~   |~                |   3|   0
20  |   1051.51|    92|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 29893             |Y*O|18 18 38.4797843352 -14 04 58.259170848|     ~   |13.456   |12.788   |     ~   |     ~   |~                |   2|   0
21  |   1268.83|    57|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 29925             |Y*?|18 18 41.9211142912 -14 08 39.177948353|     ~   |16.046   |15.329   |     ~   |     ~   |~                |   2|   0
22  |   1074.09|    54|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 29895             |Y*?|18 18 43.3163049610 -14 05 24.969865953|     ~   |17.431   |16.448   |     ~   |     ~   |~                |   2|   0
23  |   1244.00|    95|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 29922             |Y*O|18 18 56.8137844284 -14 08 03.493686514|     ~   |14.814   |14.165   |     ~   |     ~   |~                |   2|   0
24  |   1137.29|    56|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 27564             |Y*?|18 19 06.3780242256 -14 05 45.574658772|     ~   |15.639   |14.955   |     ~   |     ~   |~                |   2|   0
25  |   1011.76|    74|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 27536             |Y*?|18 19 07.9559499576 -14 03 26.773032420|     ~   |15.859   |15.254   |     ~   |     ~   |~                |   3|   0
26  |    929.83|    75|2010A&A...521A..18G|S              |Cl* NGC 6611 BKP 27511             |*  |18 19 11.916 -14 01 35.22              |     ~   |17.652   |16.552   |     ~   |15.181   |~                |   2|   0
27  |    963.22|   100|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 27505             |Y*O|18 19 18.3306222072 -14 01 24.248307648|     ~   |14.458   |14.011   |     ~   |     ~   |~                |   3|   0
28  |    984.05|    89|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 27508             |Y*?|18 19 20.7838319550 -14 01 27.093860938|     ~   |16.748   |15.168   |     ~   |     ~   |~                |   2|   0
29  |   1330.34|    83|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 27583             |Y*?|18 19 21.1393216224 -14 07 53.852760300|     ~   |15.669   |14.871   |     ~   |     ~   |~                |   2|   0
30  |   1138.47|    84|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 27542             |Y*?|18 19 23.9935787496 -14 03 59.027700564|     ~   |17.029   |16.281   |     ~   |     ~   |~                |   2|   0
31  |   1081.12|    75|2009A&A...496..453G|S              |2MASS J18193145-1401357            |Y*?|18 19 31.4495326776 -14 01 36.052373640|     ~   |16.982   |15.917   |     ~   |14.592   |~                |   3|   0
32  |   1081.12|   100|2013MNRAS.434..806B|B              |2MASS J18193145-1401357            |Y*?|18 19 31.4495326776 -14 01 36.052373640|     ~   |16.982   |15.917   |     ~   |14.592   |~                |   3|   0
33  |   1222.44|    99|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 25175             |Y*O|18 19 43.0760313216 -14 02 15.691291368|     ~   |17.295   |16.045   |     ~   |     ~   |~                |   2|   0
34  |   1304.76|    52|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 25150             |Y*?|18 19 56.3383608816 -14 00 43.066511496|     ~   |13.576   |12.744   |     ~   |     ~   |~                |   2|   0
35  |   1063.99|    85|2022A&A...664A..66M|B              |Cl* NGC 6611 BKP 27530             |Y*?|18 19 18.8087126736 -14 03 15.391612980|     ~   |15.337   |14.779   |     ~   |     ~   |~                |   4|   0
36  |   1078.73|    80|2022A&A...664A..66M|B              |[HMS93] J181934.40-140058.0        |Y*?|18 19 34.3426541140 -14 00 57.419386891|     ~   |16.13    |15.28    |     ~   |     ~   |~                |   2|   0
37  |    813.80|   100|2022A&A...664A..66M|B              |BD-13 4912                         |Y*O|18 17 51.0437589960 -13 50 55.782928464|11.36    |11.32    |10.01    |9.93     |     ~   |B2.5I            |  24|   0
38  |    228.01|    75|2009A&A...496..453G|S              |BD-13 4923                         |Y*O|18 18 32.7310836576 -13 45 11.867150808|11.184   |10.85    |10.08    |10.04    |8.529    |O4V((f+))+O7.5V  |  57|   0
39  |    228.01|    97|2013MNRAS.430.1334M|B              |BD-13 4923                         |Y*O|18 18 32.7310836576 -13 45 11.867150808|11.184   |10.85    |10.08    |10.04    |8.529    |O4V((f+))+O7.5V  |  57|   0
40  |    228.01|   100|2013ApJS..209...32B|B              |BD-13 4923                         |Y*O|18 18 32.7310836576 -13 45 11.867150808|11.184   |10.85    |10.08    |10.04    |8.529    |O4V((f+))+O7.5V  |  57|   0
41  |    228.01|   100|2013MNRAS.434..806B|B              |BD-13 4923                         |Y*O|18 18 32.7310836576 -13 45 11.867150808|11.184   |10.85    |10.08    |10.04    |8.529    |O4V((f+))+O7.5V  |  57|   0
42  |    530.73|    80|2020A&A...633A..99C|B              |BD-13 4934                         |Y*O|18 19 05.5681000896 -13 54 50.509739916|9.06     |9.68     |9.54     |     ~   |     ~   |B1Vp             |  37|   0
