JD, 244	V	S
47644.464	-15.41	1.1
47644.466	-18.13	1.14
47644.468	-15.38	0.79
47645.475	-6.44	0.67
47652.45	-1.05	1.34
47653.479	10.81	0.79
47789.216	-2.15	1.14
47792.204	-5.96	0.71
47793.222	0.41	0.5
47970.592	0.33	0.67
47991.556	-20.99	0.81
48013.396	0.28	1.21
48023.412	-17.45	0.6
48024.441	-8.65	0.45
48026.374	8.34	0.67
48029.434	-17.77	0.62
48030.471	-7.82	0.67
48032.461	8.52	0.7
48075.453	12.78	0.53
48077.457	-22.3	0.54
48078.431	-14.5	0.67
48079.434	-6.16	0.48
48080.431	0.63	0.46
48081.456	10.19	0.43
48082.382	10.11	0.9
48083.4	-22.44	0.34
48084.404	-15.84	0.6
48085.388	-8.68	0.53
48086.431	-0.22	0.32
48088.434	12.14	1.96
48089.376	-20.15	0.73
48090.4	-18.75	0.6
48091.411	-6.32	0.35
48092.406	-0.62	0.68
48095.499	-18.7	0.9
48096.33	-20	1.07
48097.361	-11.7	0.35
48098.317	-2.17	0.45
48099.352	2.48	0.2
48100.367	16.51	1.07
48102.442	-18.79	0.46
48103.412	-12.25	0.4
48104.408	-1.64	0.62
